username,handle,postDate,content,retweets,likes
David M,@gason65,2020-10-28T16:11:34.000Z,"@SenTedCruz
 can you ask two questions, 1) can you change the policy right now to open up New York Post’s since your company made a mistake? 2) can Twitter, Facebook, and Google release the data used to train their AI algorithm. Biased training!",,
Ty Alma,@TRodick93,2020-10-28T16:07:20.000Z,"How incredibly stupid. I wish Seeing AI were available for Android, but we Android fans have Google Lookout, which works almost as well.",,1
Mazza,@YaaMazz,2020-10-28T16:07:04.000Z,With sm and tech stuff I do wonder what they do with our data. Like i imagine this AI stuff prolly data mining or something. Loads of super m seems like it too. I mean I don't really care I've already sold my soul to Google and Facebook so,1,6
Fabien Randanne,@fabrandanne,2020-10-28T15:49:00.000Z,"Attends, j’ai pas fait le Google doc !!!",,
David M,@gason65,2020-10-28T15:47:19.000Z,". 
@dbongino
 can someone ask Twitter, Facebook, and Google for the data sets they use to train their AI models",,
Nico Addai is on Mastadon,@NicoAddai,2020-10-28T15:31:59.000Z,"@Moustapha_6C
 I could you point me in the direction of a website for Google AI in Accra? I can only find an article about it from 2019.",,
duane forrester,@DuaneForrester,2020-10-28T15:29:48.000Z,"I would disagree, as someone who worked there. It wasn't about competing & beating. It was about data and information. Same as it is with Google...search, AI, machine learning, cloud systems - ALL interconnected. To move one, you need the rest. #semrushchat",,5
$21,@gtra_21,2020-10-28T14:54:34.000Z,"Dorsey looks like Taliban member. No wonder!
Google s/b declare as #China company and s/b ban doing business in #USA...have  AI lab in #China but refused to work with US military.  It’s time F B, Twitter and Google pay users for selling their personal data.",,
The Mining Bartender,@jtourzan,2020-10-28T14:20:09.000Z,"I have a #Kyrgyz friend who works for $goog. Got swooped by Uber after working in Oz. Got poached by google to work for AI cloud computing. The top talent is the capital investment in Silicon Valley. And the labor market is highly efficient, no loyalty to anything but options.",,1
Ben Walker,@ben_walker_2000,2020-10-28T14:05:10.000Z,I imagine apple wanting to do siri mostly client side (bar stuff obviously needing the net) and their own views on privacy vs Google who pools everything which means AI learns exponentially faster. Mind u I guess apple are gradually going less privacy orientated gradually,,
sun,@file_KSA580,2020-10-28T13:53:03.000Z,"sun @sun_KSA580 
Moon 
@BALL_278
Book 
@F402T136
Doom 
@4021362288069TR
Shit 
@JKQDSC
One 
@mirkvd
Hell 
@DZC108
Reality 
@COM_TLVZWP8069
Ka 
@MX_631
99 
@HYZR99
Dog 
@DOGLV246
Allah 
@ISBN711
AI @AIFTCPGW
Cs 
@KJD70Q59
Sobek 
@FT
 @business
 @cnnbusiness
 @bbcbusiness
 @CNBCi
 @Google
 @Googlez",,
MOON,@BALL_278,2020-10-28T13:51:58.000Z,"Moon 
@BALL_278
Book 
@F402T136
Doom 
@4021362288069TR
Shit 
@JKQDSC
One 
@mirkvd
Hell 
@DZC108
Reality 
@COM_TLVZWP8069
Ka 
@MX_631
99 
@HYZR99
Dog 
@DOGLV246
Allah 
@ISBN711
AI @AIFTCPGW
Cs 
@KJD70Q59
Sobek 
@FT
 @METROUK
 @business
 @cnnbusiness
 @bbcbusiness
 @CNBCi
 @Google
 @IBM
 @GOOGLEZ
 @FT",,
Yash Thakrar,@yashthakrar1996,2020-10-28T13:26:08.000Z,"Number of AI (artificial intelligence) acquisitions in the past decade:

Apple:       25 acquisitions
Google:     15 acquisitions
Facebook: 12 acquisitions 
Microsoft:  11 acquisitions
Amazon:     8 acquisitions",1,
いまおか,@imaoka334,2020-10-28T12:19:19.000Z,"Facebook and Google both increased server shipments in the third quarter due to demand from their online multimedia and cloud computing AI platforms. However, the two datacenter operators will slow down the pace of orders pending Intel's transiting to the new CPU platform.",,
Gabe Teninbaum,@GTeninbaum,2020-10-28T12:16:34.000Z,"Electronic research is ubiquitous. So commonly used that we don’t think of it as “legal tech,” the same way we don’t think of Google searches as “using AI.”",,1
JMS TMS,@JMSTMS,2020-10-28T11:28:09.000Z,"Okay but what if 
@Google
 makes an AI chip to implant Google search into your brain?",,
Nick Flor +,@ProfessorF,2020-10-28T11:01:57.000Z,"Oh one last thing. Today, Zuckerberg, Jack, & whoever the Google CEO is — TESTIFY before the senate

Sadly, the senate & their staff are so woefully inept in technology, AI, and analytics, that we're going to see a repeat of denying shadow banning WHILE DESCRIBING SHADOW  BANNING",10,26
Y. 127°,@jhvlntn,2020-10-28T10:54:00.000Z,"When the ""Idol AI"" just turns out to be something like Siri, Bixby, Google-Assistant, Alexa which you probably use on the daily, what then? ",,
justina,@justinar_,2020-10-28T10:22:17.000Z,I love how this community has stronger Yuzu-calibrated search engines than Google's AI image recognition ,,1
